지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
전국,2012,대통령,보수정당,진보정당,1,0.5156,2,0.4802,1,1,0,4,40507842,30721459,15773128,14692632,0,128861,30594621,126838,9786383
서울,2012,대통령,진보정당,보수정당,2,0.5142,1,0.4819,1,1,0,4,8393847,6307869,3024572,3227639,0,24488,6276699,31170,2085978
부산,2012,대통령,보수정당,진보정당,1,0.5982,2,0.3987,1,1,0,4,2911700,2219699,1324159,882511,0,6735,2213405,6294,692001
대구,2012,대통령,보수정당,진보정당,1,0.8015,2,0.1954,1,1,0,4,1990746,1585806,1267789,309034,0,5017,1581840,3966,404940
인천,2012,대통령,보수정당,진보정당,1,0.5158,2,0.4805,1,1,0,4,2241366,1657821,852600,794213,0,6153,1652966,4855,583545
광주,2012,대통령,진보정당,보수정당,2,0.9198,1,0.0777,1,1,0,4,1117781,898416,69574,823737,0,2275,895586,2830,219365
대전,2012,대통령,보수정당,진보정당,1,0.4996,2,0.4971,1,1,0,4,1182321,904367,450576,448310,0,2992,901878,2489,277954
울산,2012,대통령,보수정당,진보정당,1,0.5979,2,0.3978,1,1,0,4,886061,694938,413977,275451,0,3005,692433,2505,191123
세종,2012,대통령,보수정당,진보정당,1,0.5191,2,0.4759,1,1,0,4,87707,64990,33587,30787,0,323,64697,293,22717
경기,2012,대통령,보수정당,진보정당,1,0.5044,2,0.492,1,1,0,4,9364077,7018577,3528915,3442084,0,25724,6996723,21854,2345500
강원,2012,대통령,보수정당,진보정당,1,0.6197,2,0.3753,1,1,0,4,1235647,911988,562876,340870,0,4508,908254,3734,323659
충북,2012,대통령,보수정당,진보정당,1,0.5623,2,0.4326,1,1,0,4,1234832,925778,518442,398907,0,4704,922053,3725,309054
충남,2012,대통령,보수정당,진보정당,1,0.5666,2,0.4279,1,1,0,4,1601751,1168095,658928,497630,0,6378,1162936,5159,433656
전북,2012,대통령,진보정당,보수정당,2,0.8625,1,0.1323,1,1,0,4,1483402,1142133,150315,980322,0,5938,1136575,5558,341269
전남,2012,대통령,진보정당,보수정당,2,0.8928,1,0.1,1,1,0,4,1530012,1171210,116296,1038347,0,8316,1162959,8251,358802
경북,2012,대통령,보수정당,진보정당,1,0.8082,2,0.1861,1,1,0,4,2185987,1710122,1375164,316659,0,9688,1701511,8611,475865
경남,2012,대통령,보수정당,진보정당,1,0.6312,2,0.3634,1,1,0,4,2608874,2008683,1259174,724896,0,10701,1994771,13912,600191
제주,2012,대통령,보수정당,진보정당,1,0.5046,2,0.4896,1,1,0,4,451731,330967,166184,161235,0,1916,329335,1632,120764
