지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2018,광역단체장,진보정당,보수정당,1,0.5279,2,0.2335,1,1,7,0,8380947,5019098,1158487,2619497,1183888,0,4961872,57226,3361849
부산,2018,광역단체장,진보정당,보수정당,1,0.5523,2,0.3716,1,1,2,1,2939046,1727684,632806,940469,102801,26720,1702796,24888,1211362
대구,2018,광역단체장,보수정당,진보정당,2,0.5374,1,0.3976,1,1,1,0,2047286,1172279,619165,458112,74955,0,1152232,20047,875007
인천,2018,광역단체장,진보정당,보수정당,1,0.5767,2,0.3544,1,1,2,0,2440779,1349084,470937,766186,91526,0,1328649,20435,1091695
광주,2018,광역단체장,진보정당,그외정당,1,0.8408,5,0.0599,0,1,3,0,1172429,694252,34487,573995,74228,0,682710,11542,478177
대전,2018,광역단체장,진보정당,보수정당,1,0.5641,2,0.3217,1,1,2,0,1219513,706983,224306,393354,79622,0,697282,9701,512530
울산,2018,광역단체장,진보정당,보수정당,1,0.5289,2,0.4008,1,1,2,0,942550,610698,240475,317341,42210,0,600026,10672,331852
세종,2018,광역단체장,진보정당,보수정당,1,0.7131,2,0.1806,1,1,1,0,222852,137603,24546,96896,14444,0,135886,1717,85249
경기,2018,광역단체장,진보정당,보수정당,1,0.5641,2,0.3552,1,1,3,0,10533027,6084955,2122433,3370621,482473,0,5975527,109428,4448072
강원,2018,광역단체장,진보정당,보수정당,1,0.6473,2,0.3527,1,1,0,0,1296196,819193,282456,518447,0,0,800903,18290,477003
충북,2018,광역단체장,진보정당,보수정당,1,0.6116,2,0.2967,1,1,1,0,1318186,782316,227371,468750,70330,0,766451,15865,535870
충남,2018,광역단체장,진보정당,보수정당,1,0.6256,2,0.351,1,1,1,0,1740413,1011447,345577,615870,23012,0,984459,26988,728966
전북,2018,광역단체장,진보정당,그외정당,1,0.7057,4,0.1911,1,1,3,0,1527729,996504,26374,682042,258051,0,966467,30037,531225
전남,2018,광역단체장,진보정당,그외정당,1,0.7709,4,0.1059,0,1,4,0,1577224,1092107,40287,807902,199816,0,1048005,44102,485117
경북,2018,광역단체장,보수정당,진보정당,2,0.5212,1,0.3432,1,1,2,0,2251538,1457539,732785,482564,190659,0,1406008,51531,793999
경남,2018,광역단체장,진보정당,보수정당,1,0.5281,2,0.4296,1,1,1,0,2765485,1819391,765809,941491,75418,0,1782718,36673,946094
제주,2018,광역단체장,무소속,진보정당,7,0.5173,1,0.4002,1,1,2,1,532515,350943,11241,137901,17207,178255,344604,6339,181572
