지역,선거년도,선거종류,득표_1위_정당,득표_2위_정당,득표_1위_후보번호,득표_1위_득표율,득표_2위_후보번호,득표_2위_득표율,보수정당_후보자수,진보정당_후보자수,그외정당_후보자수,무소속_후보자수,선거인수,투표수,보수정당,진보정당,그외정당,무소속,득표수_계,무효투표수,기권수
서울,2014,광역단체장,진보정당,보수정당,2,0.5613,1,0.4303,1,1,2,0,8441594,4948897,2109869,2752171,41241,0,4903281,45616,3492697
부산,2014,광역단체장,보수정당,무소속,1,0.5066,4,0.4934,1,0,0,1,2932179,1629167,797926,0,0,777225,1575151,54016,1303012
대구,2014,광역단체장,보수정당,진보정당,1,0.5596,2,0.4033,1,1,2,1,2012579,1052638,581175,418891,23779,14774,1038619,14019,959941
인천,2014,광역단체장,보수정당,진보정당,1,0.4995,2,0.4821,1,1,1,0,2319198,1244502,615077,593555,22651,0,1231283,13219,1074696
광주,2014,광역단체장,진보정당,무소속,2,0.5785,5,0.3177,1,1,2,2,1138418,650008,21614,367203,27985,217915,634717,15291,488410
대전,2014,광역단체장,진보정당,보수정당,2,0.5008,1,0.4676,1,1,2,0,1207972,652671,301389,322762,20355,0,644506,8165,555301
울산,2014,광역단체장,보수정당,그외정당,1,0.6543,4,0.2643,1,0,2,0,912325,511881,306311,0,161843,0,468154,43727,400444
세종,2014,광역단체장,진보정당,보수정당,2,0.5778,1,0.4222,1,1,0,0,101559,63629,26451,36203,0,0,62654,975,37930
경기,2014,광역단체장,보수정당,진보정당,1,0.5043,2,0.4957,1,1,0,0,9679317,5156691,2524981,2481824,0,0,5006805,149886,4522626
강원,2014,광역단체장,진보정당,보수정당,2,0.4976,1,0.4818,1,1,1,0,1255469,781359,369201,381338,15774,0,766313,15046,474110
충북,2014,광역단체장,진보정당,보수정당,2,0.4975,1,0.4769,1,1,1,0,1261119,741049,346152,361115,18590,0,725857,15192,520070
충남,2014,광역단체장,진보정당,보수정당,2,0.5221,1,0.4396,1,1,0,1,1644554,916206,392315,465994,0,34204,892513,23693,728348
전북,2014,광역단체장,진보정당,보수정당,2,0.6923,1,0.2045,1,1,1,0,1503242,900029,177172,599654,89337,0,866163,33866,603213
전남,2014,광역단체장,진보정당,그외정당,2,0.7797,3,0.1248,1,1,1,0,1549440,1015688,92549,755233,120868,0,968650,47038,533752
경북,2014,광역단체장,보수정당,진보정당,1,0.7774,2,0.1493,1,1,2,0,2211734,1314925,986989,189603,93067,0,1269659,45266,896809
경남,2014,광역단체장,보수정당,진보정당,1,0.5886,2,0.3605,1,1,1,0,2658347,1589673,913162,559367,79015,0,1551544,38129,1068674
제주,2014,광역단체장,보수정당,진보정당,1,0.5997,2,0.3453,1,1,2,0,467182,293323,172793,99493,15846,0,288132,5191,173859
